R;Nome;Squadra;Qt.A;FVM
D;Amian;Spezia;4;8
D;Bradaric;Salernitana;4;7
D;Daniliuc;Salernitana;4;7
D;Pongracic;Lecce;4;5
D;Zima;Torino;4;6
D;Quagliata;Cremonese;4;4
D;Aiwu;Cremonese;4;4
D;Lochoshvili;Cremonese;4;8
D;Bronn;Salernitana;4;7
D;Thiaw;Milan;4;3
D;Romagnoli S.;Lecce;3;6
D;Ghiglione;Cremonese;3;4
D;De Sciglio;Juventus;3;7
D;Caldara;Spezia;3;8
D;Venuti;Fiorentina;3;5
D;Karsdorp;Roma;3;2
D;Kjaer;Milan;3;11
D;Okoli;Atalanta;3;3
D;Bellanova;Inter;3;4
D;Lovato;Salernitana;3;8
D;Dest;Milan;3;8
D;Amione;Sampdoria;3;9
D;Ruggeri;Atalanta;3;4
D;Zanoli;Sampdoria;3;2
D;De Winter;Empoli;3;8
D;Ruan;Sassuolo;3;7
D;Ebosse;Udinese;3;3
D;Zeefuik;Verona;3;5
D;Wisniewski;Spezia;3;5
D;Dermaku;Lecce;2;2
D;D'ambrosio;Inter;2;3
D;Rugani;Juventus;2;6
D;De Silvestri;Bologna;2;4
D;Chiriches;Cremonese;2;7
D;Murru;Sampdoria;2;4
D;Bonifazi;Bologna;2;5
D;Donati;Monza;2;2
D;Walukiewicz;Empoli;2;2
D;Ranieri L.;Fiorentina;2;1
D;Gabbia;Milan;2;2
D;Kumbulla;Roma;2;5
D;Adopo;Torino;2;3
D;Pirola;Salernitana;2;3
D;Tuia;Lecce;2;2
D;Ferrer;Spezia;2;3
D;Antov;Monza;2;1
D;Vasquez;Cremonese;2;7
D;Ostigard;Napoli;2;8
D;Coppola D.;Verona;2;3
D;Cacace;Empoli;2;3
D;Gatti;Juventus;2;8
D;Gila;Lazio;2;2
D;Bayeye;Torino;2;1
D;Ebosele;Udinese;2;3
D;Sambia;Salernitana;2;7
D;Sosa;Bologna;2;1
D;Moutinho J.;Spezia;2;4
D;Conti;Sampdoria;1;1
D;Marrone;Monza;1;1
D;Tonelli;Empoli;1;1
D;Murillo;Sampdoria;1;6
D;Radu;Lazio;1;1
D;Paletta;Monza;1;1
D;Florenzi;Milan;1;2
D;Sala;Spezia;1;3
D;Fares;Lazio;1;1
D;Romagna;Sassuolo;1;1
D;Cassandro;Lecce;1;2
D;Muldur;Sassuolo;1;2
D;Amey;Bologna;1;1
D;Zanotti;Inter;1;1
D;Buta;Udinese;1;1
D;Abankwah;Udinese;1;1
D;Guessand A.;Udinese;1;1
D;Cabal;Verona;1;2
D;Guarino;Empoli;1;1
D;Carboni F.;Monza;1;2
C;Kvaratskhelia;Napoli;33;251
C;Zaccagni;Lazio;32;138
C;Strefezza;Lecce;27;70
C;Milinkovic-Savic;Lazio;26;182
C;Barella;Inter;26;86
C;Zielinski;Napoli;25;83
C;Luis Alberto;Lazio;25;80
C;Felipe Anderson;Lazio;24;83
C;Calhanoglu;Inter;22;64
C;Frattesi;Sassuolo;22;68
C;Elmas;Napoli;22;40
C;Miranchuk;Torino;22;82
C;Koopmeiners;Atalanta;22;70
C;Vlasic;Torino;22;61
C;Zambo Anguissa;Napoli;21;45
C;Diaz B.;Milan;21;43
C;Samardzic;Udinese;21;24
C;Pereyra;Udinese;19;48
C;Politano;Napoli;19;47
C;Rabiot;Juventus;19;36
C;Lazovic;Verona;18;56
C;Ferguson;Bologna;18;43
C;Ciurria;Monza;18;23
C;Orsolini;Bologna;17;67
C;Pessina;Monza;17;38
C;Lobotka;Napoli;17;42
C;Kostic;Juventus;17;41
C;Radonjic;Torino;17;24
C;Bonaventura;Fiorentina;16;42
C;Tonali;Milan;16;45
C;Baldanzi;Empoli;16;52
C;Lovric;Udinese;16;24
C;Pellegrini Lo.;Roma;15;58
C;El Shaarawy;Roma;15;25
C;Ikone';Fiorentina;15;24
C;Candreva;Salernitana;14;24
C;Pasalic;Atalanta;13;36
C;Bennacer;Milan;13;25
C;Fagioli;Juventus;13;24
C;Colpani;Monza;13;8
C;Pogba;Juventus;12;30
C;Chiesa;Juventus;12;73
C;Bandinelli;Empoli;12;12
C;Matic;Roma;12;13
C;Mkhitaryan;Inter;12;26
C;Dominguez;Bologna;12;26
C;Messias;Milan;12;20
C;Arslan;Udinese;12;10
C;Ricci S.;Torino;12;27
C;Ranocchia F.;Monza;12;5
C;Saponara;Fiorentina;11;24
C;Brozovic;Inter;11;36
C;Verdi;Verona;11;10
C;Barak;Fiorentina;11;20
C;Soriano;Bologna;11;14
C;Vilhena;Salernitana;11;16
C;Cristante;Roma;10;17
C;Locatelli;Juventus;10;28
C;Sensi;Monza;10;20
C;De Ketelaere;Milan;10;18
C;Gonzalez J.;Lecce;10;18
C;Vecino;Lazio;9;8
C;Duda;Verona;9;15
C;Marin;Empoli;9;12
C;Zalewski;Roma;9;22
C;Bajrami;Sassuolo;9;22
C;Coulibaly L.;Salernitana;9;12
C;Miretti;Juventus;9;8
